"Title","Description","License","Tags","Groups","Organisation","Visibility","Format","Language","Publisher","Type","URL","[DateAdded, Date Modified]"
"NSW Public Schools Master Data Set","Comprehensive information for NSW public schools, including location information, school type and contact details. See attachment in about section for lat/longs","CC_30_BY_AUS","['schools', 'geolocation']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1463459670, 1463459670]"
"NSW Schools- Map Data","School code, school name, latitude and longitude (see also attachment in 'about' section).","CC_30_BY_AUS","['geocode', 'map']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1442202142, 1442212684]"
"Enrolments (head count) School Level 2004 to 2013","National Schools Statistics Collection (NSSC) enrolments collected as at the first Friday in August every year.
All NSSC enrolments are headcount figures.
Where a school had 5 or fewer students, the figure has been suppressed.
A blank figure indicates no enrolments were collected for NSSC in the given calendar year.","CC_30_BY_AUS","['enrolments', 'head count']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1413325888, 1413326031]"
"Map of NSW Public Schools","Comprehensive information for NSW public schools, including location information, school type and contact details.","CC_30_BY_AUS","['schools', 'geolocation']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1463459670, 1436319767]"
"Schools using the DEC-provided Schools Website Service","as at August 2014.  Includes links to calendars.  Replace the dd-mm-yyy with the relevant dates","CC_30_BY_AUS","['schools', 'websites']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1413346441, 1413346441]"
"Classes - Average Primary Class Sizes By Year, 1997 And 2002-2014","Average Primary Class Sizes By Year, 1997 And 2002-2014","CC_30_BY_AUS","['class size', 'primary']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1443404165, 1443404165]"
"Schools map/enrolment","Comprehensive information for NSW public schools, including location information, school type and contact details.","CC_30_BY_AUS","['schools', 'geolocation']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1463459670, 1445299066]"
"Map of NSW government schools","","CC_30_BY_AUS","","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1442202142, 1445298868]"
"Enrolments (FTE) In NSW Government Schools - 1970, 1980, 1990, 1993-2014","Enrolments (FTE) In NSW Government Schools - 1970, 1980, 1990, 1993-2014.

Since 1993 some students have enrolled part-time and all enrolments are reported in full-time equivalent units (FTEs) and include full-time and part-time students.","CC_30_BY_AUS","['enrolments', 'fte']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1459753145, 1459753145]"
"Schools attendance rates by Aboriginality and year level, 2014","Schools attendance rates by Aboriginality and year level, 2014","CC_30_BY_AUS","['attendance', 'primary', 'secondary', 'indigenous']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1448319575, 1448319576]"
"NSW Government School Enrolments By Scholastic Year 2014","Source: Statistics Unit, Centre for Education Statistics and Evaluation, DEC. Extracted in June 2015. Mid-Year Census 2014.								
								
Notes:								
1) Enrolments are full-time equivalent (FTE) enrolments. For the purposes of State reporting, only students in Year 11 and 12 may be part-time. Hence there is no difference between ""full-time"" and ""full-time equivalent"" enrolments for K-10 or ungraded in NSW government schools.								
2) Ungraded students are students who are not assigned to a particular grade.  They are often enrolled in support classes or schools for specific purposes (SSPs)								
3) Total enrolments are provided for Schools for Specific Purposes.  All these students are classified as ungraded students.								
4) sp: data suppressed where enrolments are 5 or fewer. Where only one grade at a school had a value of <=5, the ungraded cell has also been suppressed for privacy reasons. Where there are no ungraded students, the grade with the next lowest total has also suppressed.","CC_30_BY_AUS","['enrolments', 'scholastic year']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","","[1442982325, 1442982326]"
"Proportion of students at or above the National Minimum Standard for NAPLAN Reading and Numeracy, Year 9, NSW, 2008-13","Source; Australian Curriculum, Assessment and Reporting Authority 2013, NAPLAN Achievement in Reading, Persuasive Writing, Language Conventions and Numeracy: National Report for 2013, ACARA, Sydney","CC_30_BY_AUS","['naplan', 'year 9']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409842850, 1429128478]"
"Map of NSW Schools","School code, school name, latitude and longitude (see also attachment in 'about' section).","CC_30_BY_AUS","['geocode', 'map']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1442202142, 1439429515]"
"2013 Statistical Bulletin: Schools and Students in NSW","The Statistical Bulletin is an annual publication which presents a snapshot of NSW schools, preschools and students, including the Aboriginal status and language background of students. The bulletin also includes trend data on enrolments in NSW Government and non-government schools from 1961 to the present day.","CC_30_BY_AUS","['statistics bulletin', 'pdf', 'cese', '2013', 'aboriginal', 'indigenous']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1412906462, 1448321499]"
"Resource Allocation Model and Family Occupation Educational Index, 2016","The Resource Allocation Model (RAM) has been developed to ensure a fair, efficient and transparent allocation of the education budget for every school.
The model, introduced in phases, recognises that students and school communities are not all the same  they have different needs and require different levels of support.","CC_30_BY_AUS","['ram', 'resource allocation model', 'foei', 'family occupation education index', 'funding', 'budget']","Public","Department of Education","Yes","published","English","Department of Education","Dataset","https://www.det.nsw.edu.au/media/downloads/about-us/our-reforms/local-schools-local-decisions/reform-agenda/resource-allocation-model/2015/RAM_2016_Funding_Table.pdf","[1449727483, 1449727483]"
"Apparent Retention in NSW Government Schools, 2001-2014","All enrolments are reported in full-time equivalent units (FTEs), and include full-time and part-time students. Students enrolled in distance education classes are included with their appropriate grade levels.","CC_30_BY_AUS","['retention', 'nsw', 'government schools', '2001-2014']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1443593914, 1443593978]"
"Government School Student Attendance, Semester 1, 2014: CESE Bulletin 12","Government school student attendance for first semester, 2014","CC_30_BY_AUS","['attendance', 'schools', 'government schools', 'students', 'nsw students', 'primary students', 'secondary students', 'school attendance', 'aboriginal', 'indigenous']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/","[1429577490, 1448321562]"
"Course Enrolments in Year 11 And Year 12 Subjects in NSW Government Schools, 2014","Based on school of tuition, board developed courses only, and includes subjects studied through distance education, the Open High School and Saturday School of Community Languages.","CC_30_BY_AUS","['course', 'enrolments', 'year 11', 'year 12', 'subjects', 'nsw', 'government schools', '2014', 'aboriginal', 'indigenous']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1443669927, 1448321531]"
"NSW Government Schools By Classification 2001-2014","The classifications used in the table are not based on the 2014 actual enrolments collected through the mid-year census. The classifications are based on the staffing entitlement classifications reviewed periodically by the Classification Review Committee.","CC_30_BY_AUS","['classification', 'school type', 'enrolments']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1443599451, 1443599451]"
"NSW Government Schools on Priority Schools Funding Program by region and school type","As at midyear 2012

NSW Goverment Schools on Priority Schools Funding Program by region and school type","CC_30_BY_AUS","['priority schools funding program', 'region']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1396576239, 1400762851]"
"NSW Public School Teachers - Graduation Year","Based on number of teachers employed on the census date (2012) and includes casual teachers","CC_30_BY_AUS","['teachers', 'graduation']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409816188, 1409816188]"
"Proportion of children accessing a preschool program in their year prior to school, 2011-13","Due to improved data collection, major modifications to calculation methods were agreed from 2011 resulting in breaks in the series for this performance indicator. These changes included the exclusion of (previously included) 3 year old children enrolled at government and community preschools and better estimates of preschool participation in long day care.											
										
Source: NSW Department of Education and Communities, NSW 2013 Supplementary Data Report under the National Partnership Agreement on Universal Access to Early Childhood Education (forthcoming).","CC_30_BY_AUS","['preschool']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409843089, 1409843089]"
"Space Management Report, 2015","This Asset Management Space Report is the first in what will be an annual series of reports that sets out the extent and distribution of our school asset base; how well our buildings and grounds are utilised and changes to the asset base that have occurred over the last 10 years across the Principal Team Offices.","CC_30_BY_AUS","['assets', 'space management', 'school grounds']","Public","Asset Management, Department of Education","Yes","published","English","Asset Management, Department of Education","Dataset","","[1444786339, 1444866784]"
"NSW Government Schools By Type And SA4 Groupings, 2014","As at midyear 2014 - using SA4 groupings as described in notes column.","CC_30_BY_AUS","['school type', 'sa4', '2014']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1443655990, 1443655990]"
"Retention Rates Grade 10-12","All enrolments are reported in full-time equivalent units (FTEs), and include full-time and part-time students. Students enrolled in distance education classes are included with their appropriate grade levels.","CC_30_BY_AUS","['retention', 'nsw', 'government schools', '2001-2012']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1443593914, 1429128594]"
"NSW Public School Teachers - Years employed by DEC (chart)","Based on number of teachers employed on census date (2012) and includes casual teachers","CC_30_BY_AUS","['teachers', 'years employed']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409815424, 1409815744]"
"Proportion of students at or above the National Minimum Standard for NAPLAN Reading and Numeracy, Year 3, NSW, 2008-13","Source: Australian Curriculum, Assessment and Reporting Authority 2013, NAPLAN Achievement in Reading, Persuasive Writing, Language Conventions and Numeracy: National Report for 2013, ACARA, Sydney","CC_30_BY_AUS","['naplan', 'year 3']","Public","NSW Education and Communities","Yes","published","English","NSW Education and Communities","Dataset","","[1409842189, 1429128478]"
"NSW government schools by type and ABS statistical area, mid-year 2013"," Lucas Heights Community School, Hunter School of Performing Arts, Southern Cross School, Wadalba Community School, Alexandria Park Community School and Evans River Community School are included with central/community schools","CC_30_BY_AUS","['school type', 'abs statistical area']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1413338471, 1413338471]"
"Language Participation Year 7-9 By Gender And School Year, 2014 (NSW Government Schools)","As at August 2014

The table includes only students learning a language on average for more than 1 hour per week for 35 or more weeks a year.

There were an additional 23,449 students who were learning a language for a shorter duration.","CC_30_BY_AUS","['language', 'year 7', 'year 8', 'year 9', 'gender', 'year', '2014', 'language participation']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1462842451, 1462842451]"
"Primary Students in NSW Government Schools Studying a Language Other than English by Year of Schooling and Language, 2014","As at May, 2014

Students may study more than one language. Students in Distance Education and Opportunity Classes (OC) are included with their appropriate grade levels.","CC_30_BY_AUS","['primary', 'students', 'languages', '2014']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1443668743, 1443668743]"
"Age-grade distribution of primary students in NSW government schools, 2014","Primary students by age and year of schooling (excluding support students), collected midyear 2014","CC_30_BY_AUS","['age', 'primary', 'year of schooling', 'age grade distribution']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1443664130, 1443664130]"
"NSW Public School Teachers - Age Distribution by Gender","Based on number of teachers employed on census date (2012) and includes casual teachers","CC_30_BY_AUS","['age', 'teachers']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409812302, 1409815789]"
"NSW Public School Teachers - Salary range","Based on number of teachers employed on census date (2012) and includes casual teachers","CC_30_BY_AUS","","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409557130, 1409815890]"
"Course Enrolments In Year 10 Subjects In NSW Government Schools, 2014","Hours equal to the number of hours studied over Years 9 and 10.","CC_30_BY_AUS","['course', 'enrolments', 'year 10', 'nsw', 'government schools', '2014', 'aboriginal', 'indigenous']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1443669706, 1448321635]"
"Secondary Education Schools By Selective, Specialist and Coeducational, 2014","Midyear 2014

Secondary Education Schools By Selective, Specialist And Coeducational Status

Includes secondary schools and central/community schools. The Conservatorium High School is included with performing arts schools.","CC_30_BY_AUS","['selective', 'specialist', 'coeducational', 'secondary']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1443660690, 1443660690]"
"Student Attendance Rates by Aboriginality and Year Level, 2012 - Secondary","The attendance data are for full-time, Year 1-10 students only.","CC_30_BY_AUS","['attendance', 'aboriginal', 'indigenous', 'secondary']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1448319657, 1448319657]"
"Student Attendance Rates by Aboriginality and Year Level, 2012 - Primary","The attendance data are for full-time, Year 1-10 students only.

All students in Years 1 to 10 in NSW Government Schools are regarded as full-time.

Ungraded students in NSW Government Schools are classified as either primary or secondary according to their level of education.

For more detailed analysis of Semester 1 school attendance, please refer to CESE Bulletin Issue 3 - Attendance Semester 1, 2012.","CC_30_BY_AUS","['attendance', 'aboriginal', 'year', '2012', 'primary', 'indigenous']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1448321447, 1448321447]"
"NSW Public School Teachers - Type of employment","Based on number of teachers employed on the census date (2012) and includes casual teachers","CC_30_BY_AUS","['teachers', 'permanent', 'casual', 'temporary']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409556197, 1412906816]"
"NSW Public School Teachers - Age Distribution % by Gender (chart)","Based on number of teachers employed on census date (2012) and includes casual teachers","CC_30_BY_AUS","['age', 'teachers']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409812302, 1409815768]"
"NSW Public School Teachers - School type by Gender (chart)","Based on number of teachers employed on census date (2012) and includes casual teachers","CC_30_BY_AUS","","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409614872, 1409815858]"
"Number Of Students In Years 11 And 12 Enrolled In One Or More VET Courses","Source: NSW Board of Studies data as at July each year.","","['vet', 'study patterns', 'students']","Public","","Yes","published","English","","Dataset","","[1397184285, 1429129108]"
"Proportion of students at or above the National Minimum Standard for NAPLAN Reading and Numeracy, Year 7, NSW, 2008-13","Source: Australian Curriculum, Assessment and Reporting Authority 2013, NAPLAN Achievement in Reading, Persuasive Writing, Language Conventions and Numeracy: National Report for 2013, ACARA, Sydney","CC_30_BY_AUS","['naplan', 'year 7']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409842659, 1429128478]"
"Government School Student Attendance 2013 (Semester 1) : CESE Bulletin 6","Government School Student Attendance 2013 (Semester 1)","CC_30_BY_AUS","['attendance', 'bulletin', '2013', 'government schools', 'aboriginal', 'indigenous']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1399937655, 1448321578]"
"Workforce Profile, NSW Teaching Profession, 2014","Profile of NSW teaching workforce. Data details teacher characteristics and experiences from entry into initial teacher education through to exit from the profession.","CC_30_BY_AUS","['teachers', 'initial teacher education', 'teaching profession', 'teacher data', 'aboriginal', 'indigenous']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://cese.nsw.gov.au","[1435626566, 1448321733]"
"Out-of-pocket expenses (after subsidies) for families with children in full-time centre-based long day care, as a proportion of gross annual disposable income, NSW and Australia, March quarter 2013","Source: SCRGSP 2014, Report on Government Services 2014, vol. B Childcare, education and training, Productivity Commission, Canberra, Table 3A.57","CC_30_BY_AUS","['expenses', 'out-of-pocket', 'long day care']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409844155, 1409844155]"
"Age-grade distribution of secondary students in NSW government schools, 2014","As at midyear 2014

Full-time, secondary students by age and year of schooling (excluding support students)","CC_30_BY_AUS","['age', 'secondary', 'age grade distribution']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1443663987, 1443663987]"
"NSW Stats At A Glance, 2015","Overview of NSW education statistics, gathered in 2014.","CC_30_BY_AUS","['statistics', 'education', 'summary', '2014', 'aboriginal', 'indigenous']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/","[1445298634, 1448321813]"
"NSW Public School Teachers - School Type by Gender","Based on number of teachers employed on census date (2012) and includes casual teachers","CC_30_BY_AUS","","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409614872, 1409815823]"
"Selective High Schools Minimum Entry Scores, 2015","for further information see attachment. Entry into these schools in Year 7 is determined by the students results in the Selective High School Placement Test 1 in English (including reading and writing), mathematics and general ability, together with their primary school's assessment of their performance in English and mathematics. Other evidence of academic merit may also be considered.","CC_30_BY_AUS","","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1454974987, 1454974987]"
"Average weekly hours of attendance of children in the year before full-time school in NSW Government-operated and NSW Government-funded preschools, 2011-13","These results do not include long day care enrolment data because the Commonwealth Child Care Management System (CCMS) data does not provide hourly enrolment or attendance information.									

Due to improved data collection, major modifications to calculation methods were agreed from 2011 resulting in breaks in the series for this performance indicator. These changes included the exclusion of (previously included) 3 year old children enrolled at government and community preschools and better estimates of preschool participation in long day care.									
									
Source: NSW Department of Education and Communities, 2012 Annual report on achieving universal access to early childhood education in NSW (forthcoming) and internal data","CC_30_BY_AUS","['preschool', 'attendance', 'hours']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409843381, 1409843381]"
"Median weekly cost of centre-based long day care, NSW and other jurisdictions ($/week), 2013","* Source: SCRGSP  2014, Report on Government Services 2014, vol. B Childcare, education and training, Productivity Commission, Canberra, Table 3A.30 
* 2012/13 dollars","CC_30_BY_AUS","['weekly cost', 'long day care']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409843947, 1409843947]"
"Language Studies (Koren, Latin, Wiradjuri) 7-9, 2012","As at August 2012

The table includes only students learning a language on average for more than 1 hour per week for 35 or more weeks a year.

There were an additional 23,449 students who were learning a language for a shorter duration.","CC_30_BY_AUS","['language', 'rear 7', 'year 8', 'year 9', 'gender', 'year', '2012']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1462842451, 1436418941]"
"Students - Enrolments (FTE) in NSW government schools (chart)","Enrolments (FTE) In NSW Government Schools -  1970, 1980, 1990, 1993-2014

Since 1993 some students have enrolled part-time and all enrolments are reported in full-time equivalent units (FTEs) and include full-time and part-time students.","CC_30_BY_AUS","['enrolments', 'fte']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1459753145, 1459753310]"
"Comparison of average daily fees in Government-funded preschools for all children and children in equity groups (2013 dollars), 2008-13","2013 - Fee relief initiative
Sources: 
NSW Department of Education and Communities, 2012 Annual report on achieving universal access to early childhood education in NSW (forthcoming) and internal data 
Australian Bureau of Statistics, 6401.0 - Consumer Price Index, Australia","CC_30_BY_AUS","['preschool', 'fees', 'aboriginal', 'indigenous']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409843661, 1448321693]"
"NSW Public School Teachers - Years employed by NSW DEC","Based on number of teachers employed on census date (2012) and includes casual teachers","CC_30_BY_AUS","['teachers', 'years employed']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409815424, 1409815723]"
"Proportion of students at or above the National Minimum Standard for NAPLAN Reading and Numeracy, Year 5, NSW, 2008-13","Source: Australian Curriculum, Assessment and Reporting Authority 2013, NAPLAN Achievement in Reading, Persuasive Writing, Language Conventions and Numeracy: National Report for 2013, ACARA, Sydney","CC_30_BY_AUS","['naplan', 'year 5']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409842462, 1429128478]"
"Language diversity in NSW government schools in 2013: CESE Bulletin 5","This bulletin summarises the diversity of students with a language background other than English (LBOTE) who are enrolled in NSW government schools in 2013.","","['language', 'lbote', '2013', 'diversity', 'bulletin', 'aboriginal', 'indigenous']","Public","","Yes","published","English","","Dataset","","[1397449332, 1448321656]"
"2012 Statistical Bulletin: Schools and students in NSW","2012 Statistical Bulletin: Schools and students in NSW","","['statistics bulletin', 'schools', 'students', 'cese', '2012', 'aboriginal', 'indigenous']","Public","","Yes","published","English","","Dataset","","[1397446464, 1448321671]"
"Schools By Student Attendance And Type, Semester 1 2014","Student attendance rates for primary, central/community and secondary students in NSW.","CC_30_BY_AUS","['students', 'attendance', 'nsw students', 'primary', 'secondary', 'central', 'community']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-bulletin-12-government-school-student-attendance-2014-semester-1","[1439360919, 1439360919]"
"NSW Public School Teachers - Time fraction per week employed","Based on number of teachers employed on the census date (2012) and includes casual teachers. 0.2 = 1 day.  Time fraction greater than 1 is due to teachers taking pay in advance for leave.","CC_30_BY_AUS","['teachers', 'days per week']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409816013, 1409816013]"
"Student Attendance Rate By School Level, 2006-2014","Student attendance data for primary and secondary students in NSW.","CC_30_BY_AUS","['students', 'attendance', 'nsw students', 'primary', 'secondary']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-bulletin-12-government-school-student-attendance-2014-semester-1","[1439361027, 1439361027]"
"NSW Public School Teachers - Tertiary Qualification level","Based on number of teachers employed on the census date (2012) and includes casual teachers","CC_30_BY_AUS","['teachers', 'qualifications', 'degrees']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1408684704, 1409816105]"
"NSW Government School HSC Completions, Year 12, 2004-2014","NSW government school HSC completions, Year 12 students only, 2004-2014","CC_30_BY_AUS","['hsc', 'completions', 'students', '2004-2014', 'aboriginal', 'indigenous']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1443670074, 1448321878]"
"NSW Public School Teachers - Tertiary Qualifications (by Type)","Based on number of teachers employed on the census date (2012) and includes casual teachers","CC_30_BY_AUS","['teachers', 'qualifications', 'degrees']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1446605694, 1446605694]"
"Course Enrolments in Year 11 And Year 12 Subjects in NSW Government Schools, 2012","Based on school of tuition, board developed courses only, and includes subjects studied through distance education, the Open High School and Saturday School of Community Languages.","CC_30_BY_AUS","['course', 'enrolments', 'year 11', 'year 12', 'subjects', 'nsw', 'government schools', '2012']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1443669927, 1438584658]"
"Enrolments ( FTE) Of Aboriginal Students By SA4 Groupings And Grade Groups, 2014","Enrolments (FTE) of Aboriginal students by SA4 groupings and grade groups in NSW government schools, mid-year 2014","CC_30_BY_AUS","['aboriginal students', 'sa4', 'enrolment', '2014', 'indigenous']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1448319497, 1448319498]"
"Course Enrolments In Year 10 Subjects In NSW Government Schools, 2012","Hours equal to the number of hours studied over Years 9 and 10.","CC_30_BY_AUS","['course', 'enrolments', 'year 10', 'nsw', 'government schools', '2012']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1443669706, 1438584743]"
