"Title","Description","License","Tags","Groups","Organisation","Visibility","Format","Language","Publisher","Type","URL","[DateAdded, Date Modified]"
"Course Enrolments in Year 11 and Year 12 Subjects in NSW Government Schools, 2012 - Apprenticeships","Based on school of tuition, board developed courses only, and includes subjects studied through distance education, the Open High School and Saturday School of Community Languages.","","['course', 'enrolments', 'year 11', 'year 12', 'nsw', 'government schools', '2012', 'apprenticeships']","Public","","Yes","published","English","","Dataset","","[1396580875, 1429129022]"
"NSW Public School Voluntary School Contributions, 2014","Refer to attachment for more information. Principals can request voluntary general contributions to enhance their school education programs. It is a decision for parents to make payments.","CC_30_BY_AUS","['school contributions', 'voluntary payments']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1453433309, 1453433309]"
"Language Participation Year 7-9 by Gender and School Year","As of August 2012

The table includes only students learning a language on average for more than 1 hour per week for 35 or more weeks a year.

There were an additional 23,449 students who were learning a language for a shorter duration.","CC_30_BY_AUS","['language', 'rear 7', 'year 8', 'year 9', 'gender', 'year', '2012']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1462842451, 1438584754]"
"Apparent Retention in NSW Government Schools, 2001-2012","All enrolments are reported in full-time equivalent units (FTEs), and include full-time and part-time students. Students enrolled in distance education classes are included with their appropriate grade levels.

With the New School Leaving Age legislation coming into effect in January 2010, the Year 12 cohort in 2012 is the first group of students who were required to complete Year 10. This means that the Year 10 enrolment figure was higher than in previous years, resulting in a relative decline in Year 10 to Year 12 apparent retention in 2012, despite the Year 7 to Year 12 apparent retention rate increasing slightly.","CC_30_BY_AUS","['retention', 'nsw', 'government schools', '2001-2012']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1443593914, 1438584470]"
"NSW Public School Teachers by Gender","Based on number of teachers employed on census date (2012) and includes casual teachers","CC_30_BY_AUS","['teachers', 'gender']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1408683485, 1409815692]"
"Mid Year Census 2012: CESE Bulletin 4","This Bulletin summarises the results of the census of students in NSW government
schools on Friday 3 August 2012, and the census of NSW non-government schools
undertaken by the Department of Education, Employment and Workplace Relations.","","['census', 'statistics', 'deewr', '2012', 'mid-year', 'bulletin', 'aboriginal', 'indigenous']","Public","","Yes","published","English","","Dataset","","[1397449954, 1448321710]"
"NSW Public School Teachers - Gender (Chart)","Based on number of teachers employed on the census date (2012) and includes casual teachers","CC_30_BY_AUS","['teachers', 'gender']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1408683485, 1409816236]"
"NSW Government Schools - Summarised by School Type - 2001-2012","","CC_30_BY_AUS","['school type']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1443599451, 1438584553]"
"2011 Statistical Bulletin: Schools and students in NSW","2011 Statistical Bulletin: Schools and students in NSW","","['statistical bulletin', 'schools', 'students', '2011', 'aboriginal', 'indigenous']","Public","","Yes","published","English","","Dataset","","[1397448915, 1448321751]"
"NSW Government Schools By FOEI Bands And SA4 Groupings, 2014","All NSW government schools (excluding exceptions as listed) by Family Occupation and Education Index (FOEI), mid-year 2014","CC_30_BY_AUS","['sa4', 'foei', 'family occupation and education index', '2014']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1443657502, 1443657502]"
"NSW Public School Funds Available as at December, 2013 & 2014","For more information refer to attachment. Most NSW public schools operate and maintain their own bank accounts. Principals have the flexibility to manage day to day school operations. Schools are accountable to the Department of Education and to the school community for how funds are spent to deliver educational programs.","CC_30_BY_AUS","['schools funds', 'bank accounts', 'financials', 'funding']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1453432876, 1453432876]"
"Funds Accumulated From Hiring Of School Facilities, 2014","Refer to attachment for more information. The NSW Department of Education encourages local communities to use school buildings, grounds, playing fields and facilities for appropriate purposes. Opening school facilities to the community is a way of sharing resources and strengthening the partnerships between schools and local communities.","CC_30_BY_AUS","['school assets', 'schools funds', 'hire', 'school facilities']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1453426615, 1453426615]"
"Student Attendance Rates by Aboriginality and Year Level, 2012 - Primary","The attendance data are for full-time, Year 1-10 students only.

All students in Years 1 to 10 in NSW Government Schools are regarded as full-time.

Ungraded students in NSW Government Schools are classified as either primary or secondary according to their level of education.

For more detailed analysis of Semester 1 school attendance, please refer to CESE Bulletin Issue 3 - Attendance Semester 1, 2012.","CC_30_BY_AUS","['attendance', 'aboriginality', 'year', '2012', 'primary']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1448321447, 1438584650]"
"NSW Public School Teachers - Indigenous Status","Based on number of teachers employed on the census date (2012) and includes casual teachers","CC_30_BY_AUS","['teachers', 'indigenous', 'aboriginal', 'tsi']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409546691, 1448321797]"
"Aboriginal Student Attendance Rate By School Level, 2006-2014","Aboriginal student attendance data for primary and secondary students in NSW.","CC_30_BY_AUS","['students', 'attendance', 'primary', 'secondary', 'aboriginal', 'indigenous']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-bulletin-12-government-school-student-attendance-2014-semester-1","[1448319261, 1448319261]"
"CESE Bulletin 13- Schools: InBrief Mid-Year Census 2014","InBrief summarises the results of the census of students in NSW government schools undertaken on Friday 1 August 2014, and the census of NSW non-government schools undertaken by the Australian Government Department of Education on the same day.","CC_30_BY_AUS","['census', 'government schools', 'non-government schools', '2014', 'preschool', 'primary', 'secondary', 'central/community', 'aboriginal', 'indigenous']","Public","Centre for Education Statistics and evaluation","Yes","published","English","Centre for Education Statistics and evaluation","Dataset","http://www.cese.nsw.gov.au","[1440375656, 1448321863]"
"NSW Government Schools on the Country Area Program by Region and school type, midyear 2012","As at midyear 2012

NSW Government Schools on the Country Area Program by Region and school type","CC_30_BY_AUS","['country area program', 'region']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1396576416, 1400762929]"
"Government School Student Attendance 2012 (Semester 1): CESE Bulletin 3","Research indicates a strong link between attendance and student achievement.
Recording and monitoring student attendance is an important requirement as part of
the schools duty of care to all students in the school.","","['attendance', 'bulletin', '2012', 'aboriginal', 'indigenous', 'student']","Public","","Yes","published","English","","Dataset","","[1397449611, 1448321769]"
"Enrolment Of Students Of LBOTE In NSW Government Schools, 2014 ( SA4 And Grade)","Enrolment of students of language background other than English (LBOTE) in NSW government schools, March 2014 by SA4 groupings and grade groups","CC_30_BY_AUS","['enrolment', 'students', 'lbote', 'sa4', 'grade']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1443668419, 1443668419]"
"CESE Bulletin 8- Schools: Language Diversity in NSW, 2014","This bulletin summarises the diversity of students with a language background other than English (LBOTE) who are enrolled in NSW government schools in 2014.","CC_30_BY_AUS","['public schools', 'primary', 'secondary', 'lbote', 'language diversity', '2014', 'aboriginal', 'indigenous']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au","[1440375281, 1448321897]"
"Workforce Profile, NSW Teaching Profession, 2014","Profile of NSW teaching workforce. Data details teacher characteristics and experiences from entry into initial teacher education through to exit from the profession.","CC_30_BY_AUS","['teachers', 'initial teacher education', 'teaching profession', 'teacher data', 'aboriginal', 'indigenous']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://cese.nsw.gov.au","[1435625804, 1448321845]"
"Enrolments (FTE) In NSW Government Schools By FOEI Quarters And SA4 Groupings, 2014","Enrolments (FTE) in NSW government schools by FOEI quarters and SA4 groupings, April 2014","CC_30_BY_AUS","['enrolment', 'fte', 'foei', 'sa4', '2014']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1443668535, 1443668535]"
"NSW Government Schools By MCEECDYA Remoteness And SA4 Groupings, 2014","MCEECDYA Remoteness Indicator divides schools into four categories- metropolitan, provincial, remote and very remote. This table shows government schools by remoteness and SA4 groupings.","CC_30_BY_AUS","['mceecdya', 'remoteness', 'sa4', 'metropolitan', 'provincial', 'remote', 'very remote']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1443658550, 1443658550]"
"NSW Public Schools Income From Licensed Canteens, 2014","Refer to attachment for further information. In 2014, 386 schools chose to license their canteens with a total income of $5.64 million*.","CC_30_BY_AUS","['canteen', 'private', 'license', 'school income', 'school food']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1453434674, 1453434674]"
"Number of VET Students, 2010-2014","Number of students studying VET courses, all ages, and total for the five year period","CC_30_BY_AUS","['vet', 'students']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au","[1455592750, 1455592750]"
"Enrolments (FTE) In Distance Education By Year Of Schooling, 2014","Enrolments (FTE) in distance education by year of schooling, mid-year 2014","CC_30_BY_AUS","['enrolment', 'distance education', 'students', '2014']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1443667581, 1443667581]"
"HSC High Achievers In NSW Public Schools, 2008-2013","Refer to attachment for more information. The number of students from NSW public schools who were placed on the Distinguished Achievers List (achieving a highest band result of over 90 for a course) increased from 7,471 in 2012 to 7,519 in 2013.","CC_30_BY_AUS","['hsc', 'high achievers', 'indigenous', 'aboriginal']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1453430197, 1453430197]"
"Sale And Acquisition Of Land, 2000-2014","For more information refer to attachment. The Department has care, control or ownership of about 377 hectares of vacant land across NSW. The Department regularly buys or sells property to meet the demand for public education and maintains its built assets respectively.","CC0_10","['sale', 'acquisition', 'government owned', 'property', 'physical assets']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1454973213, 1454973213]"
"School Certificate Completions in NSW Public Schools, 2005-2011","Refer to attachment for further information. The School Certificate is awarded by the Board of Studies NSW to eligible students at the end of Year 10. The School Certificate Record of Achievement shows all Stage 5 (Years 9 and 10) courses and School Certificate courses completed. It also contains a statement as to whether the student is eligible for the School Certificate.","CC_30_BY_AUS","['school certificate', 'year ten', 'school leavers']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1454973633, 1454973633]"
"Year 12 Estimated Completion Rates, 2009-2013","For more information refer to attachment. Year 12 completion rates are one measure of students successful completion of their schooling. These completion rates relate to the number of students who meet the Higher School Certificate requirements as a proportion of the estimated population of young people that could attend Year 12 in a calendar year.","CC_30_BY_AUS","['hsc', 'year 12', 'completions rates', 'attendance', 'students']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1454979015, 1454979015]"
"Administrative Cost of Education Per Child In Australian Public Schools, 2012-13","Refer to attachment for more information. NSW has the largest public school system in Australia, with spending of $15,405 per public school student in 2012/13*.","CC_30_BY_AUS","['administrative costs', 'administration', 'education costs', 'financial']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1453184328, 1453184328]"
"Enrolments In Support Classes And Schools For Specific Purposes ( SSPs) By Category, 2014","Enrolments In Support Classes And Schools For Specific Purposes ( SSPs) By Category, 2014","CC_30_BY_AUS","['school for specific purpose', 'enrolments', '2014', 'disability']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1443667116, 1443667116]"
"NSW DoE Open Data Policy","This document sets out the Open Data and Publications Policy for the NSW Department of Education. Open data supports the open government principles of transparency, participation, collaboration and innovation.","CC_30_BY_AUS","['policy', 'open data', 'transparency', 'participation', 'collaboration', 'innovation', 'nsw gov']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au","[1440376047, 1440376333]"
"Completion Rates For Traineeships Commencing In 2009 And 2010","Percentage of traineeships that were completed, sorted by industry.","CC_30_BY_AUS","['students', 'vocational educations', 'trainees']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au","[1455593845, 1455593845]"
"New South Wales Stats at a Glance 2015: Vocational Education and Training","A summary of vocational education and training statistics in NSW","CC_30_BY_AUS","['statistics', 'vet', 'students', 'vocational education', 'qualifications', 'locations', 'graduates', 'indigenous', 'aboriginal']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au","[1455590126, 1455591720]"
"Employee Assistance Program, Annual Cost By Financial Year 2011-2015","Refer to attachment for more information. The Employee Assistance Program (EAP) is a service provided by the NSW Department of Education to support the health and wellbeing of its employees.","CC_30_BY_AUS","['teachers', 'health', 'employee assistance']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1453186319, 1453186319]"
"Category Tiles","","","","Public","","Yes","published","English","","Dataset","","[1432853865, 1464134261]"
"Gender Analysis Of School Teachers, 2015","Refer to attachment for more information.The Department adheres to the principles of Equal Employment Opportunity in all aspects of teacher recruitment and promotion. Male and female teachers are employed in NSW public schools across all stages of learning.","CC_30_BY_AUS","['gender', 'male', 'female', 'equality']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1453427495, 1453427495]"
"Apprentices And Trainees Approvals in NSW, 2003-2011","Refer to attachment for more information. The number of apprentice approvals and new entrant trainees has grown by 18 per cent since 2003, an increase of 11,239 apprentices and trainees.","CC_30_BY_AUS","['apprentice', 'trainee', 'traineeship', 'apprenticeship']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://dec.nsw.gov.au","[1453181943, 1453181979]"
"Age-grade Distribution Of Students In Secondary Schools (part time), 2014","Age-grade Distribution Of Students In Secondary Schools (part time), mid-year 2014 (exc Support Students)","CC_30_BY_AUS","['age', 'students', 'age grade distribution', 'part time students', '2014']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1443666922, 1443666922]"
"Permanent School Teacher Sick Leave Average, 2007-2014","For further information see attachment. Sick leave taken includes full pay, half pay (only available up to 18 February 2009 under the previous Determination), no pay and special concessional sick leave.","CC_30_BY_AUS","['teachers', 'sick leave', 'permanent staff']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1454972578, 1454972578]"
"Age Distribution Of Students In Preschools & Early Intervention Programs, 2014","Age distribution of students in nsw government preschools and early intervention programs, mid-year 2014","CC_30_BY_AUS","['age distribution', 'preschools', 'early intervention', '2014']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1443667453, 1443667453]"
"Age-grade Distribution Of Students In Schools, 2014 ( SSP) By Age And Category","Age-grade distribution of students in nsw government schools, mid-year 2014 students in schools for specific purposes by age and category","CC_30_BY_AUS","['age grade distribution', 'ssp', 'age', 'category', '2014']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1443667335, 1443667335]"
"NSW Government Schools By Classification 2001-2013","The classifications used in the table are not based on the 2013 actual enrolments collected through the mid-year census. The classifications are based on the staffing entitlement classifications reviewed periodically by the Classification Review Committee.","CC_30_BY_AUS","","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1443599497, 1464134267]"
"HSC Completions NSW Public Schools Students, 2008-2013","For more information refer to attachment. The number of students at government schools awarded the HSC continues to rise.","CC_30_BY_AUS","['hsc', 'aboriginal', 'indigenous', 'high achievers']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1453429969, 1453429969]"
"Support Classes And Services, 2013","In 2013 more than 90,000 students with a disability and/or additional learning and support needs are enrolled in NSW public schools. Students with confirmed disability can enrol in regular classes with support, and in support classes in regular
and special schools. There are 1,911 learning and support teachers in public schools in NSW.","CC0_10","['disability', 'support', 'additional services']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1454975608, 1454975609]"
"Permanent School Teacher Age Profiles, 2015","For more information, refer to attachment. Effective workforce planning processes enable the Department to meet the challenges of an ageing teaching workforce.","CC_30_BY_AUS","['age profiles', 'teachers', 'workforce planning', 'supply and demand', 'employment']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1453440377, 1453440377]"
"Enrolments (head count) School Level 2004 to 2013","National Schools Statistics Collection (NSSC) enrolments collected as at the first Friday in August every year.
All NSSC enrolments are headcount figures.
Where a school had 5 or fewer students, the figure has been suppressed.
A blank figure indicates no enrolments were collected for NSSC in the given calendar year.","CC_30_BY_AUS","","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1428223734, 1464134271]"
"School-based Apprenticeships And Traineeships In Public Schools, 2003-2011","For more information refer to attachment. School-based traineeships give students the opportunity to attain a nationally recognised vocational qualification as well as their Higher School Certificate (HSC). By taking up a school-based apprenticeship, students gain valuable work experience.","CC_30_BY_AUS","['apprentice', 'trainee', 'work experience', 'vet']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1454974744, 1454974744]"
"Places In NSW Specialist Schools Supporting Behaviour, 2001-2013","For more information refer to attachment. The NSW Department of Education has a wide range of support services for students with disruptive or challenging behaviour. These services aim to positively engage students with school and learning.","CC_30_BY_AUS","['ssps', 'specialist schools', 'schools for specific purpose', 'disruptive behaviour', 'support', 'students']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1454972919, 1454972919]"
"Employee Assistance Program, Services Accessed By Year,  2011-2015","Refer to attachment for more information. The Employee Assistance Program (EAP) is a service provided by the NSW Department of Education to support the health and wellbeing of its employees.","CC_30_BY_AUS","['teachers', 'staff', 'assistance health', 'wellbeing']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1453186499, 1453186499]"
"Completed Apprenticeships And Traineeships in NSW, 1997-2010","For more information refer to attachment. There has been an increase of 251 per cent in the number of people completing a traineeship or apprenticeship between 1997 and 2010.","CC_30_BY_AUS","['trainee', 'apprentice', 'traineeship', 'apprenticeship']","Public","NSw Department of Education","Yes","published","English","NSw Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1453183883, 1453183883]"
"Apprentices And Trainees in NSW, 2003-2011","Refer to attachment for more information. Apprenticeships are the principal way to enter into a trade occupation. The successful completion of apprenticeships is assisting to fill identified areas of skill shortages in New South Wales.","CC_30_BY_AUS","['apprentice', 'trainee', 'trade']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1453181730, 1453181730]"
"School Teacher Medical Retirements By Year, 2000-2015","In a workforce of around 49,000 permanent school teachers, the NSW Department of Education has a very low rate of medical retirements. Medical retirements arise from a range for serious medical conditions.","CC_30_BY_AUS","['medical conditions', 'retirements', 'permanent staff', 'teachers']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1454974448, 1454974448]"
"Opportunity Class Students With Language Background  Other Than English (LBOTE), 2008-2013","Refer to attachment for further information. Opportunity classes provide intellectual stimulation and an educationally enriched environment for academically gifted and talented children in Years 5 and 6. Students are identified as having a language background other than English (LBOTE) if they indicate that English is not the main language spoken in the home.","CC_30_BY_AUS","['opportunity class', 'oc', 'gifted and talented', 'lbote', 'language background']","Public","NSw Department of Education","Yes","published","English","NSw Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1453439953, 1453439953]"
"CESE Bulletin 14 - Schools: Language Diversity in NSW, 2015","This bulletin summarises the diversity of students with a language background other than English (LBOTE) who are enrolled in NSW government schools in 2015.","CC_30_BY_AUS","['statistics', 'education', 'summary', '2014', 'lbote', 'language', 'multicultural']","Public","Centre for Education Statistics and Evaluations","Yes","published","English","Centre for Education Statistics and Evaluations","Dataset","http://www.cese.nsw.gov.au/","[1455586553, 1455586653]"
"Teacher Separations, 2006-2014","Refer to attachment for further information. Separations are resignations, retirements (including medical retirements), terminations and deaths. The separation rates of public school teachers in NSW are low. They have varied between 3.6 per cent and 5 per cent since 2006.","CC_30_BY_AUS","['resignations', 'retirements', 'deaths', 'permanent staff', 'school staff', 'teachers']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1454978761, 1454978761]"
"Special Education Schools By Category, 2013","Refer to attached for further information. In 2013 more than 90,000 students with a disability and/or additional learning and support needs are enrolled in NSW public schools. Students with confirmed disability can enrol in regular classes with support, and in support classes in regular and special schools.","CC_30_BY_AUS","","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","http://www.dec.nsw.gov.au/","[1454975240, 1454975240]"
"CESE Bulletin 15 - Government school Student Attendance, 2015","This bulletin presents analysis of attendance data at NSW government schools from 2006 to 2015. Results are presented for primary and secondary students. Attendance rates are also presented for aboriginal students, remoteness, and the Family Occupation and Employment Index (FOEI) of schools.","CC_30_BY_AUS","['attendance', 'aboriginal', 'indigenous', 'remote']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-bulletin-15-government-school-student-attendance-2015","[1456449378, 1456449485]"
"highlighting drop off over the school year"," The attendance data are for full-time, Year 1-10 students only.
 All students in Years 1 to 10 in NSW Government Schools are regarded as full-time.
 Ungraded students in NSW government schools are classified as either primary or secondary according to their level of education.
 For more detailed analysis of Semester 1 school attendance, please refer to CESE Bulletin Issue 6 - Attendance Semester 1, 2013.","CC_30_BY_AUS","['attendance', 'primary', 'secondary']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1448319575, 1464134325]"
"Completion Rates For Apprenticeships Commencing In 2009 And 2010","Percentage of apprenticeships completed, in 2009 and 2010. Sorted by industry.","CC_30_BY_AUS","['vet', 'apprentice', 'training', 'industry']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au","[1455594037, 1455594037]"
"Sydney Metro","Comprehensive information for NSW public schools, including location information, school type and contact details. See attachment in about section for lat/longs","CC_30_BY_AUS","['schools', 'geolocation']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1463459670, 1464134334]"
"Networks","Comprehensive information for NSW public schools, including location information, school type and contact details.","CC_30_BY_AUS","['schools', 'geolocation']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1463459670, 1464134277]"
"High Schools NSW","Comprehensive information for NSW public schools, including location information, school type and contact details. See attachment in about section for lat/longs","CC_30_BY_AUS","['schools', 'geolocation']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1463459670, 1464134255]"
"Blacktown","Comprehensive information for NSW public schools, including location information, school type and contact details. See attachment in about section for lat/longs","CC_30_BY_AUS","['schools', 'geolocation']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1463459670, 1464134331]"
"GraduationYear","Based on number of teachers employed on the census date (2012) and includes casual teachers","CC_30_BY_AUS","['teachers', 'graduation']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409816188, 1464134251]"
"Map of NSW Public Schools - Filtered by remoteness","Comprehensive information for NSW public schools, including location information, school type and contact details. See attachment in about section for lat/longs","CC_30_BY_AUS","['schools', 'geolocation']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1463459670, 1464149774]"
